1;Ким Намджун;Лидер;12.09.1994
2;Ким Сокджин;Вижуал;04.12.1992
3;Мин Юнги;репер;09.03.1995
4;Чон Хосок;главный танцор;18.02.1994
5;Пак Чимин;вокалист;13.10.1995
6;Ким Тэхен;вокалист;30.12.1995
7;Чон Чонгук;главный вокалист;01.09.1997
